,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Trans_Amt,Total_Trans_Ct,avg_spend,cluster_label,Education_Level,Card_Category
3,36,3,5,11751.0,0,0.0,1539.0,19,81.0,2,College,Blue
8,48,2,5,2451.0,1690,0.69,1596.0,26,61.38461538461539,2,Uneducated,Blue
9,38,5,2,2650.0,1490,0.562,1411.0,28,50.392857142857146,2,College,Blue
14,41,6,3,2622.0,1549,0.591,1878.0,30,62.6,2,Unknown,Blue
17,35,2,4,34516.0,0,0.0,882.0899999999999,19,46.425789473684205,2,Graduate,Silver
18,33,5,3,5926.0,1251,0.211,1316.0,28,47.0,2,High School,Blue
22,42,5,3,2216.0,1034,0.467,1540.0,36,42.77777777777778,2,Graduate,Blue
23,29,4,4,7038.0,1801,0.256,2339.0,57,41.03508771929825,2,Uneducated,Blue
25,38,6,3,28904.0,1899,0.066,1334.0,35,38.114285714285714,2,Graduate,Blue
27,45,2,4,2158.0,0,0.0,882.0899999999999,19,46.425789473684205,2,Unknown,Blue
28,38,4,3,31302.0,1953,0.062,1564.0,35,44.68571428571428,2,High School,Blue
29,42,5,4,2664.0,2037,0.765,1286.0,29,44.3448275862069,2,Graduate,Blue
32,33,2,3,8358.0,926,0.111,1566.0,37,42.32432432432432,2,Post-Graduate,Blue
33,36,6,3,33791.0,1960,0.058,1047.0,31,33.774193548387096,2,Unknown,Blue
34,39,4,3,8466.0,1886,0.223,1342.0,32,41.9375,2,Graduate,Blue
35,36,5,3,15088.0,865,0.057,1107.0,21,52.714285714285715,2,Unknown,Blue
38,41,4,3,3788.0,1540,0.407,1594.0,47,33.91489361702128,2,High School,Blue
44,36,3,3,2038.0,0,0.0,1238.0,28,44.214285714285715,2,Unknown,Blue
47,41,6,5,3482.0,2114,0.607,1039.0,24,43.291666666666664,2,Unknown,Blue
48,40,5,2,3065.0,1570,0.512,1130.0,28,40.357142857142854,2,Uneducated,Blue
51,36,4,3,15875.0,1719,0.108,1592.0,37,43.027027027027025,2,Uneducated,Blue
52,45,6,3,6703.0,893,0.133,1388.0,28,49.57142857142857,2,High School,Blue
54,36,4,2,3356.0,985,0.294,999.0,28,35.67857142857143,2,Uneducated,Blue
55,34,3,2,5771.0,2248,0.39,1387.0,19,73.0,2,Uneducated,Blue
60,41,3,3,21592.0,1676,0.078,1873.0,52,36.01923076923077,2,Doctorate,Blue
63,43,3,3,16393.0,1423,0.087,1461.0,42,34.785714285714285,2,Uneducated,Blue
64,52,1,3,1438.3,900,0.626,882.0899999999999,21,42.00428571428571,2,High School,Blue
66,36,5,3,5288.0,866,0.164,1777.0,42,42.30952380952381,2,Unknown,Blue
68,43,2,4,1438.3,0,0.0,886.0,27,32.81481481481482,2,Graduate,Blue
77,34,6,4,13878.0,2222,0.16,1658.0,38,43.63157894736842,2,Uneducated,Silver
78,50,4,4,1438.3,1025,0.713,882.0899999999999,19,46.425789473684205,2,Uneducated,Blue
82,30,3,3,2442.0,0,0.0,882.0899999999999,19,46.425789473684205,2,High School,Blue
85,35,2,3,3540.0,849,0.24,1321.0,28,47.17857142857143,2,Uneducated,Blue
93,37,2,3,14546.0,1703,0.117,1273.0,27,47.148148148148145,2,Graduate,Blue
94,36,3,4,16427.0,1682,0.102,1579.0,36,43.861111111111114,2,Doctorate,Blue
96,37,6,3,5731.0,1577,0.275,1554.0,26,59.76923076923077,2,Post-Graduate,Blue
99,36,6,3,21637.0,2030,0.094,1222.0,23,53.130434782608695,2,Graduate,Blue
102,38,2,3,8249.0,1381,0.167,882.0899999999999,19,46.425789473684205,2,Graduate,Blue
103,31,2,3,14041.0,2154,0.153,1467.0,29,50.58620689655172,2,Graduate,Blue
104,43,5,3,5264.0,2169,0.412,1219.0,27,45.148148148148145,2,High School,Blue
110,31,5,3,34516.0,1699,0.049,1628.0,38,42.8421052631579,2,Graduate,Silver
111,44,6,3,7819.0,1560,0.2,1582.0,25,63.28,2,Uneducated,Blue
120,39,3,3,14881.0,848,0.057,1408.0,23,61.21739130434783,2,Unknown,Blue
121,36,6,3,1628.0,969,0.595,1893.0,19,99.63157894736842,2,Graduate,Blue
122,41,5,3,4745.0,1270,0.268,1519.0,31,49.0,2,Graduate,Blue
123,36,3,3,22720.0,793,0.035,1102.0,27,40.81481481481482,2,Uneducated,Blue
124,43,4,2,2569.0,1403,0.546,1456.0,39,37.333333333333336,2,High School,Blue
125,44,6,3,18206.0,1586,0.087,1439.0,48,29.979166666666668,2,Post-Graduate,Blue
130,36,4,3,7231.0,2381,0.329,1421.0,23,61.78260869565217,2,High School,Blue
131,30,2,5,5639.0,1547,0.274,882.0899999999999,19,46.425789473684205,2,Post-Graduate,Blue
132,46,3,3,10021.0,1617,0.161,1275.0,25,51.0,2,Graduate,Blue
136,49,5,3,3805.0,2233,0.587,1743.0,27,64.55555555555556,2,High School,Blue
137,37,5,2,2733.0,1306,0.478,1139.0,39,29.205128205128204,2,Uneducated,Blue
138,36,6,5,29963.0,2094,0.07,1205.0,28,43.035714285714285,2,High School,Blue
140,47,5,3,6347.0,0,0.0,1161.0,44,26.386363636363637,2,Graduate,Blue
141,35,6,3,13048.0,1954,0.15,1170.0,24,48.75,2,Post-Graduate,Blue
143,36,3,3,8645.0,1454,0.168,1435.0,25,57.4,2,Uneducated,Blue
149,44,3,3,4589.0,0,0.0,1590.0,37,42.972972972972975,2,Graduate,Blue
151,32,5,3,14910.0,877,0.059,1150.0,26,44.23076923076923,2,Unknown,Blue
152,42,3,3,4320.0,0,0.0,882.0899999999999,21,42.00428571428571,2,Graduate,Blue
153,36,1,3,4503.0,0,0.0,882.0899999999999,20,44.104499999999994,2,Uneducated,Blue
159,36,6,3,34516.0,1597,0.046,1628.0,51,31.92156862745098,2,Uneducated,Blue
161,35,4,3,18325.0,723,0.039,1517.0,33,45.96969696969697,2,Graduate,Blue
165,48,5,3,3140.0,1985,0.632,1626.0,41,39.65853658536585,2,High School,Blue
170,47,3,3,12151.0,1799,0.148,918.0,19,48.31578947368421,2,College,Blue
172,40,3,2,3117.0,1603,0.514,1437.0,37,38.83783783783784,2,Graduate,Blue
177,34,5,3,5331.0,1993,0.374,1766.0,39,45.282051282051285,2,Graduate,Blue
179,53,5,3,2402.0,1728,0.719,1650.0,53,31.132075471698112,2,Uneducated,Blue
185,43,6,2,2927.0,1412,0.482,1474.0,26,56.69230769230769,2,High School,Blue
187,45,4,3,5406.0,1782,0.33,1407.0,29,48.51724137931034,2,Unknown,Blue
191,33,6,5,7717.0,1430,0.185,1248.0,37,33.729729729729726,2,High School,Blue
192,38,3,4,4908.0,0,0.0,882.0899999999999,21,42.00428571428571,2,Uneducated,Blue
197,33,6,3,8628.0,1077,0.125,1675.0,58,28.879310344827587,2,Graduate,Blue
198,44,4,3,18750.0,1705,0.091,1200.0,36,33.333333333333336,2,College,Blue
210,47,6,4,16320.0,0,0.0,1279.0,41,31.195121951219512,2,Graduate,Blue
212,36,4,3,34516.0,2517,0.073,1475.0,33,44.696969696969695,2,Graduate,Blue
213,46,4,2,2081.0,1235,0.593,1337.0,29,46.10344827586207,2,Unknown,Blue
214,47,3,2,2848.0,1468,0.515,1135.0,27,42.03703703703704,2,Uneducated,Blue
219,35,4,3,3636.0,1010,0.278,1564.0,59,26.508474576271187,2,College,Blue
224,45,5,3,12248.0,0,0.0,882.0899999999999,25,35.2836,2,Unknown,Blue
230,36,4,3,6976.0,0,0.0,1217.0,39,31.205128205128204,2,High School,Blue
231,36,4,3,21134.0,1508,0.071,1556.0,35,44.457142857142856,2,High School,Blue
239,37,3,3,8520.0,814,0.096,1193.0,35,34.08571428571429,2,Uneducated,Blue
247,49,5,3,5476.0,2517,0.46,1532.0,44,34.81818181818182,2,Unknown,Blue
248,36,4,2,8013.0,2025,0.253,1481.0,45,32.91111111111111,2,High School,Blue
253,36,2,3,10244.0,861,0.084,1127.0,29,38.86206896551724,2,Graduate,Blue
254,36,2,3,9457.0,350,0.037,1196.0,28,42.714285714285715,2,High School,Blue
255,35,4,5,6218.0,2134,0.343,2086.0,50,41.72,2,Uneducated,Blue
256,43,6,3,6224.0,1892,0.304,2187.0,58,37.706896551724135,2,Graduate,Blue
258,42,4,3,4076.0,0,0.0,1235.0,37,33.37837837837838,2,Graduate,Blue
260,36,6,3,9851.0,0,0.0,1212.0,24,50.5,2,Graduate,Blue
261,36,4,3,17023.0,1084,0.064,1610.0,43,37.44186046511628,2,Graduate,Blue
272,35,4,3,7410.0,2517,0.34,2398.0,37,64.8108108108108,2,College,Blue
275,36,1,3,8663.0,288,0.033,916.0,33,27.757575757575758,2,High School,Blue
277,26,5,5,3038.0,1539,0.507,2189.0,54,40.53703703703704,2,Graduate,Blue
290,36,4,3,20614.0,0,0.0,1922.0,48,40.041666666666664,2,Unknown,Blue
293,33,4,2,4589.0,1240,0.27,1637.0,61,26.83606557377049,2,College,Blue
294,39,4,3,24880.0,836,0.034,1208.0,25,48.32,2,High School,Blue
299,36,6,3,12938.0,661,0.051,1282.0,32,40.0625,2,High School,Blue
303,36,4,3,9172.0,1567,0.171,1836.0,42,43.714285714285715,2,High School,Blue
304,34,5,3,14281.0,1519,0.106,1164.0,35,33.25714285714286,2,Uneducated,Blue
308,46,5,3,14316.0,1081,0.076,1313.0,36,36.47222222222222,2,High School,Blue
312,31,3,3,11789.0,1420,0.12,1463.0,32,45.71875,2,Graduate,Blue
314,40,3,3,2259.0,954,0.422,1393.0,35,39.8,2,Graduate,Blue
324,54,5,3,3398.0,2341,0.689,1169.0,31,37.70967741935484,2,Unknown,Blue
325,36,3,2,4319.0,1151,0.266,1852.0,47,39.40425531914894,2,High School,Blue
326,39,5,2,1815.0,740,0.408,1931.0,67,28.82089552238806,2,Unknown,Blue
331,31,4,3,34516.0,1197,0.035,1594.0,43,37.06976744186046,2,Unknown,Blue
344,46,5,3,5881.0,2005,0.341,1931.0,56,34.482142857142854,2,Post-Graduate,Blue
345,36,4,3,1438.3,0,0.0,1338.0,28,47.785714285714285,2,Post-Graduate,Blue
348,36,4,3,1860.0,0,0.0,1731.0,29,59.689655172413794,2,Graduate,Blue
350,36,4,3,8096.0,1474,0.182,1794.0,41,43.75609756097561,2,Unknown,Blue
352,31,6,3,7475.0,1473,0.197,1592.0,30,53.06666666666667,2,Graduate,Blue
353,55,5,3,2359.0,1242,0.526,2021.0,50,40.42,2,High School,Blue
356,48,4,3,2066.0,1601,0.775,1578.0,41,38.48780487804878,2,College,Blue
358,33,4,3,21006.0,1905,0.091,1856.0,57,32.56140350877193,2,Graduate,Blue
359,36,3,3,3664.0,0,0.0,1168.0,31,37.67741935483871,2,Uneducated,Blue
360,38,5,3,22332.0,1748,0.078,1318.0,28,47.07142857142857,2,High School,Blue
365,41,4,3,7272.0,2037,0.28,2333.0,56,41.660714285714285,2,High School,Blue
368,47,3,3,2459.0,1733,0.705,2309.0,62,37.24193548387097,2,College,Blue
370,39,3,3,7128.0,1560,0.219,1468.0,44,33.36363636363637,2,Graduate,Blue
379,36,5,3,4596.0,0,0.0,2872.0,62,46.32258064516129,2,Graduate,Blue
380,43,1,3,5701.0,2517,0.442,961.0,32,30.03125,2,Uneducated,Blue
381,32,5,5,3221.0,0,0.0,1765.0,40,44.125,2,Graduate,Blue
384,34,4,3,29543.0,1164,0.039,1015.0,27,37.592592592592595,2,High School,Blue
386,41,5,3,1438.3,0,0.0,1501.0,40,37.525,2,Graduate,Blue
387,36,3,3,34516.0,1477,0.043,2395.0,50,47.9,2,College,Blue
393,36,6,2,1578.0,760,0.482,2017.0,43,46.906976744186046,2,High School,Blue
395,36,6,3,34516.0,1047,0.03,1378.0,30,45.93333333333333,2,Uneducated,Blue
400,36,5,3,3329.0,1092,0.328,1978.0,33,59.93939393939394,2,High School,Blue
403,16,4,5,1686.0,1252,0.743,1758.0,42,41.857142857142854,2,Uneducated,Blue
405,39,5,2,6648.0,2242,0.337,2089.0,60,34.81666666666667,2,Uneducated,Blue
406,51,3,3,1795.0,794,0.442,1834.0,59,31.084745762711865,2,High School,Blue
416,36,6,2,4008.0,1636,0.408,1395.0,43,32.44186046511628,2,Graduate,Blue
426,33,5,3,19995.0,0,0.0,1879.0,34,55.26470588235294,2,Uneducated,Blue
427,28,5,3,16049.0,799,0.05,1989.0,33,60.27272727272727,2,Graduate,Blue
428,28,3,4,3601.0,1236,0.343,1802.0,34,53.0,2,High School,Blue
429,29,6,3,2937.0,869,0.296,2171.0,45,48.24444444444445,2,High School,Blue
431,36,5,2,5525.0,2409,0.436,2305.0,33,69.84848484848484,2,High School,Blue
432,36,6,3,27157.0,1547,0.057,1535.0,38,40.39473684210526,2,College,Blue
438,32,5,2,4111.0,1233,0.3,1289.0,36,35.80555555555556,2,Unknown,Blue
442,37,4,5,3203.0,2076,0.648,1433.0,38,37.71052631578947,2,Graduate,Blue
447,35,5,3,33791.0,0,0.0,1546.0,41,37.707317073170735,2,Uneducated,Silver
448,36,3,3,1438.3,0,0.0,2492.0,55,45.30909090909091,2,Graduate,Blue
450,36,6,3,18386.0,890,0.048,1698.0,43,39.48837209302326,2,Post-Graduate,Blue
461,26,3,4,21927.0,1291,0.059,1946.0,37,52.5945945945946,2,Post-Graduate,Blue
469,36,6,3,18102.0,1381,0.076,1486.0,32,46.4375,2,Doctorate,Blue
471,34,6,5,4489.0,2498,0.556,2153.0,58,37.12068965517241,2,High School,Blue
474,47,5,3,1438.3,847,0.589,1397.0,43,32.48837209302326,2,Uneducated,Blue
485,37,4,3,20013.0,922,0.046,1518.0,39,38.92307692307692,2,Graduate,Blue
486,32,6,3,9661.0,0,0.0,2825.0,60,47.083333333333336,2,Unknown,Blue
491,36,4,3,2334.0,707,0.303,1386.0,30,46.2,2,Uneducated,Blue
495,46,3,3,1648.0,997,0.605,1776.0,36,49.333333333333336,2,Uneducated,Blue
